Customer_ID,Order_ID,Order_Date,Sales,Order_Sequence_Number
AA-10315,CA-2014-128055,2014-03-31,673.57,1
AA-10315,CA-2014-128055,2014-03-31,52.98,2
AA-10315,CA-2014-138100,2014-09-15,14.56,3
AA-10315,CA-2014-138100,2014-09-15,14.94,4
AA-10315,CA-2015-121391,2015-10-04,26.96,5
AA-10315,CA-2016-103982,2016-03-03,3930.07,6
AA-10315,CA-2016-103982,2016-03-03,41.72,7
AA-10315,CA-2016-103982,2016-03-03,431.98,8
AA-10315,CA-2016-103982,2016-03-03,2.30,9
AA-10315,CA-2017-147039,2017-06-29,362.94,10
AA-10315,CA-2017-147039,2017-06-29,11.54,11
AA-10375,CA-2014-158064,2014-04-21,16.52,1
AA-10375,CA-2014-130729,2014-10-24,34.27,2
AA-10375,CA-2015-140921,2015-02-03,149.97,3
AA-10375,CA-2015-140921,2015-02-03,28.40,4
AA-10375,CA-2015-109939,2015-05-08,5.25,5
AA-10375,CA-2015-114503,2015-11-13,84.96,6
AA-10375,CA-2016-126613,2016-07-10,16.77,7
AA-10375,CA-2016-131065,2016-11-14,8.26,8
AA-10375,CA-2016-131065,2016-11-14,5.28,9
AA-10375,CA-2016-131065,2016-11-14,499.98,10
AA-10375,US-2017-169488,2017-09-07,39.96,11
AA-10375,US-2017-169488,2017-09-07,16.90,12
AA-10375,CA-2017-100230,2017-12-11,116.98,13
AA-10375,CA-2017-100230,2017-12-11,17.94,14
AA-10375,CA-2017-100230,2017-12-11,14.95,15
AA-10480,CA-2014-155271,2014-05-04,27.46,1
AA-10480,CA-2016-121671,2016-07-17,242.94,2
AA-10480,CA-2016-121671,2016-07-17,21.93,3
AA-10480,CA-2016-121671,2016-07-17,265.17,4
AA-10480,CA-2016-121671,2016-07-17,51.84,5
AA-10480,CA-2016-114601,2016-08-26,11.56,6
AA-10480,CA-2016-114601,2016-08-26,479.97,7
AA-10480,CA-2016-114601,2016-08-26,209.97,8
AA-10480,CA-2016-114601,2016-08-26,447.84,9
AA-10480,CA-2016-114601,2016-08-26,8.64,10
AA-10480,CA-2017-114412,2017-04-15,15.55,11
AA-10645,CA-2014-154963,2014-06-22,170.06,1
AA-10645,CA-2014-154963,2014-06-22,82.78,2
AA-10645,CA-2014-154963,2014-06-22,853.93,3
AA-10645,CA-2014-143210,2014-12-01,271.90,4
AA-10645,CA-2014-143210,2014-12-01,9.82,5
AA-10645,CA-2015-110863,2015-11-17,1323.90,6
AA-10645,CA-2015-110863,2015-11-17,106.32,7
AA-10645,CA-2016-147137,2016-07-04,27.92,8
AA-10645,CA-2016-147137,2016-07-04,1279.17,9
AA-10645,CA-2016-147137,2016-07-04,25.40,10
AA-10645,CA-2016-131205,2016-09-04,42.60,11
AA-10645,CA-2016-131205,2016-09-04,113.94,12
AA-10645,CA-2016-131205,2016-09-04,5.28,13
AA-10645,CA-2016-131205,2016-09-04,129.92,14
AA-10645,CA-2017-157196,2017-11-05,12.96,15
AB-10015,CA-2014-152905,2014-02-18,12.62,1
AB-10015,CA-2014-156587,2014-03-07,48.71,2
AB-10015,CA-2014-156587,2014-03-07,17.94,3
AB-10015,CA-2014-156587,2014-03-07,242.94,4
AB-10015,CA-2016-140935,2016-11-10,341.96,5
AB-10015,CA-2016-140935,2016-11-10,221.98,6
AB-10060,US-2016-108637,2016-03-13,127.88,1
AB-10060,US-2016-108637,2016-03-13,160.32,2
AB-10060,US-2016-108637,2016-03-13,46.00,3
AB-10060,CA-2016-161207,2016-08-29,27.93,4
AB-10060,CA-2016-129714,2016-09-01,6.79,5
AB-10060,CA-2016-129714,2016-09-01,4355.17,6
AB-10060,CA-2016-129714,2016-09-01,3.05,7
AB-10060,CA-2016-129714,2016-09-01,49.12,8
AB-10060,CA-2016-129714,2016-09-01,24.56,9
AB-10060,CA-2017-159688,2017-05-07,79.99,10
AB-10060,CA-2017-134173,2017-09-16,20.74,11
AB-10060,CA-2017-118213,2017-11-05,167.94,12
AB-10060,CA-2017-118213,2017-11-05,67.80,13
AB-10060,CA-2017-107174,2017-11-06,108.96,14
AB-10060,CA-2017-107174,2017-11-06,449.57,15
AB-10060,CA-2017-107174,2017-11-06,2036.86,16
AB-10105,CA-2014-103100,2014-12-20,3.69,1
AB-10105,CA-2014-103100,2014-12-20,1103.97,2
AB-10105,CA-2015-163181,2015-11-07,23.64,3
AB-10105,CA-2015-163181,2015-11-07,287.91,4
AB-10105,CA-2015-163181,2015-11-07,177.65,5
AB-10105,CA-2015-163181,2015-11-07,32.06,6
AB-10105,CA-2015-163181,2015-11-07,64.96,7
AB-10105,CA-2015-163181,2015-11-07,84.78,8
AB-10105,US-2016-122245,2016-09-25,393.17,9
AB-10105,CA-2016-117121,2016-12-17,9892.74,10
AB-10105,CA-2017-121643,2017-05-18,344.70,11
AB-10105,CA-2017-126788,2017-06-05,470.38,12
AB-10105,CA-2017-140781,2017-08-03,39.82,13
AB-10105,CA-2017-153822,2017-09-19,12.62,14
AB-10105,CA-2017-153822,2017-09-19,89.58,15
AB-10105,CA-2017-153822,2017-09-19,471.92,16
AB-10105,CA-2017-153822,2017-09-19,18.18,17
AB-10105,CA-2017-101042,2017-11-19,21.96,18
AB-10105,CA-2017-101042,2017-11-19,821.88,19
AB-10150,CA-2014-169061,2014-03-05,49.63,1
AB-10150,CA-2014-169061,2014-03-05,18.62,2
AB-10150,CA-2014-169061,2014-03-05,97.82,3
AB-10150,CA-2014-169061,2014-03-05,479.97,4
AB-10150,CA-2014-169061,2014-03-05,59.52,5
AB-10150,CA-2015-168186,2015-09-10,14.94,6
AB-10150,CA-2016-147970,2016-01-31,15.55,7
AB-10150,CA-2017-120761,2017-09-04,91.96,8
AB-10150,CA-2017-158876,2017-11-19,15.99,9
AB-10150,CA-2017-158876,2017-11-19,6.67,10
AB-10150,CA-2017-158876,2017-11-19,16.90,11
AB-10150,CA-2017-158876,2017-11-19,99.14,12
AB-10165,US-2014-139500,2014-11-16,37.30,1
AB-10165,CA-2015-131534,2015-03-28,33.40,2
AB-10165,CA-2015-131534,2015-03-28,166.24,3
AB-10165,CA-2015-144043,2015-05-10,46.69,4
AB-10165,CA-2015-115945,2015-06-25,20.96,5
AB-10165,CA-2015-115945,2015-06-25,304.23,6
AB-10165,CA-2015-115945,2015-06-25,88.75,7
AB-10165,CA-2017-126634,2017-03-30,94.20,8
AB-10165,CA-2017-144932,2017-04-14,89.86,9
